rand_lat,rand_lng,Nearest_City,Country,act_lat,act_lng,Temperature_F,Humidity_Perc,Cloudiness_Perc,Wind_Speed_MPH
-35.440888097183674,160.19779772007922,port macquarie,au,-31.43,152.92,87.82,62,0,18.75
-71.04493199169973,48.0602575571678,port alfred,za,-33.59,26.89,64.99,98,0,4
79.25278723248147,148.46374229437453,chokurdakh,ru,70.63,147.92,-26.25,82,85,4.25
-36.236349068089055,-38.183591833317166,laguna,br,-28.48,-48.78,64.42,92,34,1.7
-5.948081388600556,-138.37439232119107,atuona,pf,-9.8,-139.03,80.78,78,62,15.21
79.96882148648871,-100.13323643824974,yellowknife,ca,62.46,-114.35,10.4,85,90,5.82
32.49913796175474,83.46811217500613,jumla,np,29.27,82.18,22.8,56,24,4.72
25.096466421928866,175.71179540015737,butaritari,ki,3.07,172.79,85.03,72,12,10.56
-31.41550619065766,-45.903738403702704,laguna,br,-28.48,-48.78,64.42,92,34,1.7
-17.26642813055153,148.46786895978528,innisfail,au,-17.53,146.03,86,68,100,2.75
67.03084728935121,68.18358151744764,aksarka,ru,66.56,67.8,-7.78,100,84,4.27
15.587235754073973,-110.69641328431203,tomatlan,mx,19.93,-105.25,70,90,100,3.44
33.657199459589435,-15.865289559568907,camacha,pt,33.08,-16.33,59,77,20,9.17
-23.86849671301593,-41.6515123476799,arraial do cabo,br,-22.97,-42.03,77,78,40,8.05
-55.20817091364243,130.89812880602557,portland,au,-38.33,141.6,61.5,87,52,17.34
7.977086969888489,-110.48131126534486,san patricio,mx,19.22,-104.7,84.2,74,75,11.41
-68.61662454553777,-34.63774468322603,ushuaia,ar,-54.8,-68.3,51.8,53,75,23.04
-35.18499982244722,153.55342881481192,sydney,au,-33.87,151.21,87.67,70,40,3.36
-7.34206405490923,-83.84174309530151,sechura,pe,-5.56,-80.82,74.34,87,32,14.65
69.60601151819972,133.9168916099091,ust-kuyga,ru,70.02,135.6,-41.87,96,1,7.18
-60.09625883563193,122.9531303735755,albany,au,-35.02,117.89,62.6,93,90,5.82
-65.72190404776805,-133.05944661306654,rikitea,pf,-23.12,-134.97,79.25,77,18,14.03
81.81554009470977,-160.24787229093397,barrow,us,71.29,-156.79,-29.2,100,1,10.29
-43.068989740611684,-57.478954235306986,necochea,ar,-38.55,-58.74,60.04,57,2,5.01
-65.12679962224607,49.762671210844246,east london,za,-33.02,27.91,75.58,80,0,15.05
-46.90212646077852,148.24800862743484,hobart,au,-42.88,147.33,67.01,72,75,9.17
25.0506006310696,134.9119451007433,naze,jp,28.37,129.48,67.15,100,75,3.36
9.021969630693263,47.2131846106835,garowe,so,8.41,48.48,73.18,76,74,10.98
-27.55288983478856,-175.56079283447033,vaini,to,-21.2,-175.2,80.6,88,90,11.41
-27.283143667172816,165.21598025066828,vao,nc,-22.67,167.48,78.13,77,66,16.04
71.4188927967792,103.44617052638239,khatanga,ru,71.97,102.5,-24.14,91,57,2.89
67.39414886846205,97.44039270547535,tura,ru,64.28,100.25,-1.28,97,100,6.67
-6.381858239626524,-78.5700922489668,chota,pe,-6.55,-78.65,55.4,93,90,2.24
9.415529690698179,-73.55814103471938,chiriguana,co,9.36,-73.6,80.31,73,34,3.49
12.981033030412334,-110.3520659788222,san patricio,mx,19.22,-104.7,84.2,74,75,11.41
84.80854502111654,-48.24053751288048,upernavik,gl,72.79,-56.15,-13.83,95,78,6.85
82.5241958922125,97.28056148561012,khatanga,ru,71.97,102.5,-24.14,91,57,2.89
-11.503598016562094,-145.41598738427703,atuona,pf,-9.8,-139.03,80.78,78,62,15.21
-11.127673351714094,-127.58575778731597,atuona,pf,-9.8,-139.03,80.78,78,62,15.21
-86.49020504488342,172.0470919644519,bluff,nz,-46.6,168.33,71.01,62,46,3
-35.32651724267838,129.31693103320896,flinders,au,-34.58,150.86,85.03,58,21,8.05
23.95045531802191,48.70965282548511,riyadh,sa,24.69,46.72,46.4,33,0,10.29
28.00724516132253,103.58220329203863,zhaotong,cn,27.32,103.72,26.24,92,96,1.77
73.17092857464132,163.29974615567158,cherskiy,ru,68.75,161.3,-20.88,95,100,2.28
-8.299971586292116,-158.56118840141397,faanui,pf,-16.48,-151.75,82.45,76,22,11.21
-2.4919559526698407,12.969677931628269,mossendjo,cg,-2.95,12.73,72.18,97,100,0.76
22.855229764922072,-17.99353584177203,nouadhibou,mr,20.93,-17.03,66.2,59,100,18.34
26.096652435528327,149.12648141576074,katsuura,jp,35.13,140.3,38.79,93,75,8.05
52.58256062560946,175.25552932591023,nikolskoye,ru,59.7,30.79,27.28,86,40,6.71
-71.30493226618921,109.42757417210186,albany,au,-35.02,117.89,62.6,93,90,5.82
57.13616115286419,173.74396674026315,nikolskoye,ru,59.7,30.79,27.28,86,40,6.71
-30.590134924484246,-121.22764490062528,rikitea,pf,-23.12,-134.97,79.25,77,18,14.03
72.15466201213425,119.24748655723477,saskylakh,ru,71.92,114.08,-20,92,100,17.58
42.97769895996589,-130.07018275821872,north bend,us,43.41,-124.22,53.26,100,90,6.93
27.813239138718927,-69.40069982085612,cockburn town,bs,24.03,-74.52,73.78,68,50,8.19
-56.34745206072883,136.3083760451974,new norfolk,au,-42.78,147.06,67.51,72,75,9.17
42.249525602826736,52.845472837908034,zhanaozen,kz,43.3,52.8,33.44,76,100,13.44
9.929566831126976,-88.13604751179452,san rafael del sur,ni,11.85,-86.44,86,51,20,13.87
45.96984493901945,-124.70859403374016,astoria,us,46.19,-123.83,50.52,76,1,4.7
-16.233370372137173,154.83119454209998,samarai,pg,-10.62,150.67,87.44,58,67,2.62
-17.058615567503992,-40.70749461501737,aguas formosas,br,-17.08,-40.94,69.31,94,97,2.42
3.9599800345785496,145.31254564978752,lorengau,pg,-2.02,147.27,83.16,73,12,4.23
-81.41899655925327,102.74075057179658,albany,au,-35.02,117.89,62.6,93,90,5.82
30.008811217038186,177.13402061287172,butaritari,ki,3.07,172.79,85.03,72,12,10.56
-14.523456146472668,-2.1252340476669076,jamestown,sh,-15.94,-5.72,75.2,75,100,14.63
-85.88297175802512,-73.32839291327161,ushuaia,ar,-54.8,-68.3,51.8,53,75,23.04
-59.64524965087549,-176.55284568904187,vaini,to,-21.2,-175.2,80.6,88,90,11.41
-85.77823329509236,-80.87229596302689,ushuaia,ar,-54.8,-68.3,51.8,53,75,23.04
49.97598451215484,-126.73437909021622,port hardy,ca,50.7,-127.42,48.2,81,75,18.34
-3.1211204894280797,94.5739584866692,padang,id,-0.95,100.35,70.02,96,93,1.9
61.03643199546721,69.16091246352741,gornopravdinsk,ru,60.05,69.9,-2.9,99,97,6.04
